Country Name,Country Code,Region,IncomeGroup,Indicator Name,Indicator Code,Year,Energy_Consump.
Aruba,ABW,Latin America & Caribbean,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.268747068990415
Afghanistan,AFG,South Asia,Low income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,15.9245316828932
Angola,AGO,Sub-Saharan Africa,Lower middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,72.2552519216681
Albania,ALB,Europe & Central Asia,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,25.5180876255371
Andorra,AND,Europe & Central Asia,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,14.2735502072872
United Arab Emirates,ARE,Middle East & North Africa,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.0
Argentina,ARG,Latin America & Caribbean,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,8.92290746696394
Armenia,ARM,Europe & Central Asia,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,2.11894434058036
American Samoa,ASM,East Asia & Pacific,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.0
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.0
Australia,AUS,East Asia & Pacific,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,8.0095771593438
Austria,AUT,Europe & Central Asia,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,25.135754145631
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.722062718119182
Burundi,BDI,Sub-Saharan Africa,Low income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,95.2006722228931
Belgium,BEL,Europe & Central Asia,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,1.26946149475781
Benin,BEN,Sub-Saharan Africa,Lower middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,93.7032408560468
Burkina Faso,BFA,Sub-Saharan Africa,Low income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,93.158060288834
Bangladesh,BGD,South Asia,Lower middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,71.6649713034591
Bulgaria,BGR,Europe & Central Asia,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,1.91684850938441
Bahrain,BHR,Middle East & North Africa,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.0
The Bahamas,BHS,Latin America & Caribbean,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.0
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,7.30009869458265
Belarus,BLR,Europe & Central Asia,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.817357745109713
Belize,BLZ,Latin America & Caribbean,Lower middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,38.0116326948614
Bermuda,BMU,North America,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.0
Bolivia,BOL,Latin America & Caribbean,Lower middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,37.3590015889956
Brazil,BRA,Latin America & Caribbean,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,49.8646749269456
Barbados,BRB,Latin America & Caribbean,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,18.9421765236556
Brunei Darussalam,BRN,East Asia & Pacific,High income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,0.671759471210095
Bhutan,BTN,South Asia,Lower middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,95.8988521698186
Botswana,BWA,Sub-Saharan Africa,Upper middle income,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1990,47.5846378429877
